code,id,price,stop_price,updated_at,asset_type,order_type,currency,quantity,pnl,pnl_net,exit_at,exit_price
XRP/USDT,1,0.28555,,2021-01-20 08:00:00+08:00,Crypto,OrderType.MARKET,USD,699703.0,-12622.64212,-199.800192,2021-01-26 08:00:00+08:00,0.26751
XRP/USDT,2,0.29395,0.284408,2021-01-20 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,47018.19999999995,-1243.161207999997,5671.827502999974,2021-01-26 08:00:00+08:00,0.26751
XRP/USDT,2,0.29395,0.284408,2021-01-20 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,652684.8,-9592.508505600012,5671.827502999974,2021-01-29 12:00:00+08:00,0.279253
XRP/USDT,3,0.2848,,2021-01-20 16:00:00+08:00,Crypto,OrderType.MARKET,USD,62797.19999999995,-348.33606840000124,-199.800187,2021-01-29 12:00:00+08:00,0.279253
XRP/USDT,3,0.2848,,2021-01-20 16:00:00+08:00,Crypto,OrderType.MARKET,USD,77155.7,10115.652359900001,-199.800187,2021-01-31 00:00:00+08:00,0.415907
XRP/USDT,3,0.2848,,2021-01-20 16:00:00+08:00,Crypto,OrderType.MARKET,USD,462048.2,68208.94142860001,-199.800187,2021-02-05 00:00:00+08:00,0.432423
XRP/USDT,3,0.2848,,2021-01-20 16:00:00+08:00,Crypto,OrderType.MARKET,USD,59079.0,9596.320128000001,-199.800187,2021-02-05 04:00:00+08:00,0.447232
XRP/USDT,3,0.2848,,2021-01-20 16:00:00+08:00,Crypto,OrderType.MARKET,USD,40465.50000000006,13124.984925000017,-199.800187,2021-02-14 20:00:00+08:00,0.60915
XRP/USDT,4,0.29745,0.283661,2021-01-20 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,292812.49999999994,91269.65624999997,8665.877100999996,2021-02-14 20:00:00+08:00,0.60915
XRP/USDT,4,0.29745,0.283661,2021-01-20 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,362399.0,92004.770923,8665.877100999996,2021-02-21 16:00:00+08:00,0.551327
XRP/USDT,4,0.29745,0.283661,2021-01-20 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,23807.7,5991.683859000002,8665.877100999996,2021-02-21 20:00:00+08:00,0.54912
XRP/USDT,4,0.29745,0.283661,2021-01-20 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,22526.400000000034,3686.3777808000054,8665.877100999996,2021-03-03 16:00:00+08:00,0.461097
